target_score;miRNA;gene;Gene Description
98;hsa-miR-195-5p;ZBTB44;zinc finger and BTB domain containing 44
98;hsa-miR-195-5p;ANO3;anoctamin 3
98;hsa-miR-195-5p;SLC9A6;solute carrier family 9 member A6
98;hsa-miR-195-5p;APLN;apelin
98;hsa-miR-195-5p;AKT3;AKT serine/threonine kinase 3
98;hsa-miR-195-5p;IPO7;importin 7
98;hsa-miR-195-5p;RASGEF1B;RasGEF domain family member 1B
98;hsa-miR-195-5p;ATG9A;autophagy related 9A
98;hsa-miR-195-5p;CPEB2;cytoplasmic polyadenylation element binding protein 2
98;hsa-miR-195-5p;AHCYL2;adenosylhomocysteinase like 2
98;hsa-miR-195-5p;MYB;MYB proto-oncogene, transcription factor
98;hsa-miR-195-5p;CCND2;cyclin D2
98;hsa-miR-195-5p;KIF5C;kinesin family member 5C
98;hsa-miR-195-5p;UBN2;ubinuclein 2
98;hsa-miR-195-5p;UBE4B;ubiquitination factor E4B
98;hsa-miR-195-5p;ARL3;ADP ribosylation factor like GTPase 3
97;hsa-miR-195-5p;MAMSTR;MEF2 activating motif and SAP domain containing transcriptional regulator
97;hsa-miR-195-5p;CDCA4;cell division cycle associated 4
97;hsa-miR-195-5p;KDSR;3-ketodihydrosphingosine reductase
97;hsa-miR-195-5p;KIF23;kinesin family member 23
97;hsa-miR-195-5p;TFAP2A;transcription factor AP-2 alpha
97;hsa-miR-195-5p;PCMT1;protein-L-isoaspartate (D-aspartate) O-methyltransferase
97;hsa-miR-195-5p;PPM1E;protein phosphatase, Mg2+/Mn2+ dependent 1E
97;hsa-miR-195-5p;SHOC2;SHOC2, leucine rich repeat scaffold protein
97;hsa-miR-195-5p;HTR2A;5-hydroxytryptamine receptor 2A
97;hsa-miR-195-5p;LURAP1L;leucine rich adaptor protein 1 like
97;hsa-miR-195-5p;DMPK;DM1 protein kinase
97;hsa-miR-195-5p;RAB11FIP2;RAB11 family interacting protein 2
97;hsa-miR-195-5p;SLC25A37;solute carrier family 25 member 37
97;hsa-miR-195-5p;TMEM100;transmembrane protein 100
97;hsa-miR-195-5p;RASSF8;Ras association domain family member 8
97;hsa-miR-195-5p;FBXW7;F-box and WD repeat domain containing 7
97;hsa-miR-195-5p;DNAJB4;DnaJ heat shock protein family (Hsp40) member B4
97;hsa-miR-195-5p;GRM7;glutamate metabotropic receptor 7
97;hsa-miR-195-5p;WEE1;WEE1 G2 checkpoint kinase
97;hsa-miR-195-5p;STOX2;storkhead box 2
97;hsa-miR-195-5p;CYP26B1;cytochrome P450 family 26 subfamily B member 1
96;hsa-miR-195-5p;N4BP1;NEDD4 binding protein 1
96;hsa-miR-195-5p;PLPP1;phospholipid phosphatase 1
96;hsa-miR-195-5p;ZNF691;zinc finger protein 691
96;hsa-miR-195-5p;ZCCHC3;zinc finger CCHC-type containing 3
96;hsa-miR-195-5p;RNF144B;ring finger protein 144B
96;hsa-miR-195-5p;ARMH4;armadillo-like helical domain containing 4
96;hsa-miR-195-5p;SALL4;spalt like transcription factor 4
96;hsa-miR-195-5p;HIPK2;homeodomain interacting protein kinase 2
96;hsa-miR-195-5p;TBPL1;TATA-box binding protein like 1
96;hsa-miR-195-5p;MKX;mohawk homeobox
96;hsa-miR-195-5p;CFAP45;cilia and flagella associated protein 45
96;hsa-miR-195-5p;CNOT6L;CCR4-NOT transcription complex subunit 6 like
96;hsa-miR-195-5p;SEMA6D;semaphorin 6D
96;hsa-miR-195-5p;RFX3;regulatory factor X3
96;hsa-miR-195-5p;CBX2;chromobox 2
96;hsa-miR-195-5p;TNFSF13B;TNF superfamily member 13b
96;hsa-miR-195-5p;EDA;ectodysplasin A
96;hsa-miR-195-5p;SEC24A;SEC24 homolog A, COPII coat complex component
96;hsa-miR-195-5p;KLHL2;kelch like family member 2
96;hsa-miR-195-5p;PAFAH1B1;platelet activating factor acetylhydrolase 1b regulatory subunit 1
96;hsa-miR-195-5p;PTPN3;protein tyrosine phosphatase, non-receptor type 3
96;hsa-miR-195-5p;ZBTB34;zinc finger and BTB domain containing 34
96;hsa-miR-195-5p;CASR;calcium sensing receptor
96;hsa-miR-195-5p;MYLK;myosin light chain kinase
96;hsa-miR-195-5p;CCDC6;coiled-coil domain containing 6
96;hsa-miR-195-5p;PAFAH1B2;platelet activating factor acetylhydrolase 1b catalytic subunit 2
96;hsa-miR-195-5p;NAPG;NSF attachment protein gamma
96;hsa-miR-195-5p;GABARAPL1;GABA type A receptor associated protein like 1
96;hsa-miR-195-5p;ZNF367;zinc finger protein 367
95;hsa-miR-195-5p;ZMAT3;zinc finger matrin-type 3
95;hsa-miR-195-5p;UBFD1;ubiquitin family domain containing 1
95;hsa-miR-195-5p;CHAC1;ChaC glutathione specific gamma-glutamylcyclotransferase 1
95;hsa-miR-195-5p;CEP55;centrosomal protein 55
95;hsa-miR-195-5p;IPPK;inositol-pentakisphosphate 2-kinase
95;hsa-miR-195-5p;VEGFA;vascular endothelial growth factor A
95;hsa-miR-195-5p;PLXNA4;plexin A4
95;hsa-miR-195-5p;KIF5B;kinesin family member 5B
95;hsa-miR-195-5p;LATS1;large tumor suppressor kinase 1
95;hsa-miR-195-5p;SETD3;SET domain containing 3, actin histidine methyltransferase
95;hsa-miR-195-5p;MAP2K1;mitogen-activated protein kinase kinase 1
95;hsa-miR-195-5p;SMURF1;SMAD specific E3 ubiquitin protein ligase 1
95;hsa-miR-195-5p;USP25;ubiquitin specific peptidase 25
95;hsa-miR-195-5p;STXBP3;syntaxin binding protein 3
95;hsa-miR-195-5p;FGFR1;fibroblast growth factor receptor 1
95;hsa-miR-195-5p;MYBL1;MYB proto-oncogene like 1
95;hsa-miR-195-5p;GPATCH8;G-patch domain containing 8
95;hsa-miR-195-5p;CBX4;chromobox 4
94;hsa-miR-195-5p;JPH3;junctophilin 3
94;hsa-miR-195-5p;USP42;ubiquitin specific peptidase 42
94;hsa-miR-195-5p;STRADB;STE20 related adaptor beta
94;hsa-miR-195-5p;RNF217;ring finger protein 217
94;hsa-miR-195-5p;LRRN3;leucine rich repeat neuronal 3
94;hsa-miR-195-5p;STXBP5;syntaxin binding protein 5
94;hsa-miR-195-5p;ZFHX4;zinc finger homeobox 4
94;hsa-miR-195-5p;CCND1;cyclin D1
94;hsa-miR-195-5p;ZNF622;zinc finger protein 622
94;hsa-miR-195-5p;PTPRR;protein tyrosine phosphatase, receptor type R
94;hsa-miR-195-5p;ATXN2;ataxin 2
94;hsa-miR-195-5p;ZNRF2;zinc and ring finger 2
94;hsa-miR-195-5p;OOEP;oocyte expressed protein
94;hsa-miR-195-5p;HSPA4L;heat shock protein family A (Hsp70) member 4 like
94;hsa-miR-195-5p;P3H2;prolyl 3-hydroxylase 2
94;hsa-miR-195-5p;ZBTB39;zinc finger and BTB domain containing 39
94;hsa-miR-195-5p;SRPRA;SRP receptor subunit alpha
94;hsa-miR-195-5p;WNK3;WNK lysine deficient protein kinase 3
94;hsa-miR-195-5p;PPP1R11;protein phosphatase 1 regulatory inhibitor subunit 11
94;hsa-miR-195-5p;DDX3X;DEAD-box helicase 3 X-linked
94;hsa-miR-195-5p;LRIG2;leucine rich repeats and immunoglobulin like domains 2
94;hsa-miR-195-5p;ARHGDIA;Rho GDP dissociation inhibitor alpha
94;hsa-miR-195-5p;PPP2R1B;protein phosphatase 2 scaffold subunit Abeta
94;hsa-miR-195-5p;DCP1A;decapping mRNA 1A
94;hsa-miR-195-5p;CHEK1;checkpoint kinase 1
94;hsa-miR-195-5p;OMG;oligodendrocyte myelin glycoprotein
94;hsa-miR-195-5p;GALNT13;polypeptide N-acetylgalactosaminyltransferase 13
93;hsa-miR-195-5p;ACTR2;ARP2 actin related protein 2 homolog
93;hsa-miR-195-5p;GHR;growth hormone receptor
93;hsa-miR-195-5p;BTAF1;B-TFIID TATA-box binding protein associated factor 1
93;hsa-miR-195-5p;AVL9;AVL9 cell migration associated
93;hsa-miR-195-5p;TRANK1;tetratricopeptide repeat and ankyrin repeat containing 1
93;hsa-miR-195-5p;FBXL20;F-box and leucine rich repeat protein 20
93;hsa-miR-195-5p;DIXDC1;DIX domain containing 1
93;hsa-miR-195-5p;UBE4A;ubiquitination factor E4A
93;hsa-miR-195-5p;MFN2;mitofusin 2
93;hsa-miR-195-5p;WNT3A;Wnt family member 3A
93;hsa-miR-195-5p;SOCS6;suppressor of cytokine signaling 6
93;hsa-miR-195-5p;CC2D1B;coiled-coil and C2 domain containing 1B
93;hsa-miR-195-5p;SEL1L3;SEL1L family member 3
93;hsa-miR-195-5p;FOXK1;forkhead box K1
93;hsa-miR-195-5p;SYT3;synaptotagmin 3
93;hsa-miR-195-5p;HSPG2;heparan sulfate proteoglycan 2
93;hsa-miR-195-5p;CD2AP;CD2 associated protein
93;hsa-miR-195-5p;CCNT1;cyclin T1
93;hsa-miR-195-5p;SUCO;SUN domain containing ossification factor
93;hsa-miR-195-5p;MYO5A;myosin VA
93;hsa-miR-195-5p;AMOTL1;angiomotin like 1
93;hsa-miR-195-5p;KANK1;KN motif and ankyrin repeat domains 1
93;hsa-miR-195-5p;RBPJ;recombination signal binding protein for immunoglobulin kappa J region
93;hsa-miR-195-5p;SYDE2;synapse defective Rho GTPase homolog 2
93;hsa-miR-195-5p;TMEM245;transmembrane protein 245
93;hsa-miR-195-5p;RPS6KA3;ribosomal protein S6 kinase A3
93;hsa-miR-195-5p;PLXNC1;plexin C1
93;hsa-miR-195-5p;VPS33B;VPS33B, late endosome and lysosome associated
93;hsa-miR-195-5p;KIF21A;kinesin family member 21A
92;hsa-miR-195-5p;ZMYM2;zinc finger MYM-type containing 2
92;hsa-miR-195-5p;SUMO3;small ubiquitin-like modifier 3
92;hsa-miR-195-5p;CACUL1;CDK2 associated cullin domain 1
92;hsa-miR-195-5p;PIAS2;protein inhibitor of activated STAT 2
92;hsa-miR-195-5p;ACVR2A;activin A receptor type 2A
92;hsa-miR-195-5p;TBP;TATA-box binding protein
92;hsa-miR-195-5p;STK33;serine/threonine kinase 33
92;hsa-miR-195-5p;SLIT2;slit guidance ligand 2
92;hsa-miR-195-5p;XPO7;exportin 7
92;hsa-miR-195-5p;E2F3;E2F transcription factor 3
92;hsa-miR-195-5p;SMAD7;SMAD family member 7
92;hsa-miR-195-5p;SALL1;spalt like transcription factor 1
92;hsa-miR-195-5p;YTHDC1;YTH domain containing 1
92;hsa-miR-195-5p;CHD2;chromodomain helicase DNA binding protein 2
92;hsa-miR-195-5p;C1orf21;chromosome 1 open reading frame 21
92;hsa-miR-195-5p;SLC12A2;solute carrier family 12 member 2
92;hsa-miR-195-5p;TMCC1;transmembrane and coiled-coil domain family 1
92;hsa-miR-195-5p;COP1;COP1, E3 ubiquitin ligase
92;hsa-miR-195-5p;ADAMTS3;ADAM metallopeptidase with thrombospondin type 1 motif 3
92;hsa-miR-195-5p;AGO4;argonaute RISC catalytic component 4
92;hsa-miR-195-5p;KCNK10;potassium two pore domain channel subfamily K member 10
92;hsa-miR-195-5p;ASH1L;ASH1 like histone lysine methyltransferase
92;hsa-miR-195-5p;RAD23B;RAD23 homolog B, nucleotide excision repair protein
92;hsa-miR-195-5p;SIRT4;sirtuin 4
92;hsa-miR-195-5p;TMEM178B;transmembrane protein 178B
92;hsa-miR-195-5p;RNF10;ring finger protein 10
92;hsa-miR-195-5p;CD47;CD47 molecule
92;hsa-miR-195-5p;IFT74;intraflagellar transport 74
92;hsa-miR-195-5p;PTH;parathyroid hormone
92;hsa-miR-195-5p;G2E3;G2/M-phase specific E3 ubiquitin protein ligase
92;hsa-miR-195-5p;ATXN7L2;ataxin 7 like 2
92;hsa-miR-195-5p;LITAF;lipopolysaccharide induced TNF factor
92;hsa-miR-195-5p;KRTAP11-1;keratin associated protein 11-1
92;hsa-miR-195-5p;TRABD2B;TraB domain containing 2B
92;hsa-miR-195-5p;ZNF449;zinc finger protein 449
92;hsa-miR-195-5p;RETREG2;reticulophagy regulator family member 2
92;hsa-miR-195-5p;DLL1;delta like canonical Notch ligand 1
92;hsa-miR-195-5p;NHLRC2;NHL repeat containing 2
92;hsa-miR-195-5p;SLC20A2;solute carrier family 20 member 2
92;hsa-miR-195-5p;NAA25;N(alpha)-acetyltransferase 25, NatB auxiliary subunit
92;hsa-miR-195-5p;LAMP3;lysosomal associated membrane protein 3
92;hsa-miR-195-5p;TMEM183A;transmembrane protein 183A
92;hsa-miR-195-5p;CDC25A;cell division cycle 25A
92;hsa-miR-195-5p;MEOX2;mesenchyme homeobox 2
92;hsa-miR-195-5p;KCNG4;potassium voltage-gated channel modifier subfamily G member 4
92;hsa-miR-195-5p;CPEB3;cytoplasmic polyadenylation element binding protein 3
92;hsa-miR-195-5p;MEX3C;mex-3 RNA binding family member C
92;hsa-miR-195-5p;PCDH17;protocadherin 17
91;hsa-miR-195-5p;ATXN7L1;ataxin 7 like 1
91;hsa-miR-195-5p;SIK1;salt inducible kinase 1
91;hsa-miR-195-5p;INSR;insulin receptor
91;hsa-miR-195-5p;POU2F1;POU class 2 homeobox 1
91;hsa-miR-195-5p;ZNRF3;zinc and ring finger 3
91;hsa-miR-195-5p;CLOCK;clock circadian regulator
91;hsa-miR-195-5p;KRTAP4-6;keratin associated protein 4-6
91;hsa-miR-195-5p;CDC42SE2;CDC42 small effector 2
91;hsa-miR-195-5p;ZFHX3;zinc finger homeobox 3
91;hsa-miR-195-5p;GSTCD;glutathione S-transferase C-terminal domain containing
91;hsa-miR-195-5p;PPM1A;protein phosphatase, Mg2+/Mn2+ dependent 1A
91;hsa-miR-195-5p;NOS1;nitric oxide synthase 1
91;hsa-miR-195-5p;LRRK1;leucine rich repeat kinase 1
91;hsa-miR-195-5p;RPS6KA6;ribosomal protein S6 kinase A6
91;hsa-miR-195-5p;TLL1;tolloid like 1
91;hsa-miR-195-5p;EZH1;enhancer of zeste 1 polycomb repressive complex 2 subunit
91;hsa-miR-195-5p;SPTLC1;serine palmitoyltransferase long chain base subunit 1
91;hsa-miR-195-5p;GATAD2A;GATA zinc finger domain containing 2A
91;hsa-miR-195-5p;AMER1;APC membrane recruitment protein 1
91;hsa-miR-195-5p;LARGE2;LARGE xylosyl- and glucuronyltransferase 2
91;hsa-miR-195-5p;RARB;retinoic acid receptor beta
91;hsa-miR-195-5p;ZC3H13;zinc finger CCCH-type containing 13
91;hsa-miR-195-5p;CSDE1;cold shock domain containing E1
90;hsa-miR-195-5p;WIPI2;WD repeat domain, phosphoinositide interacting 2
90;hsa-miR-195-5p;TFCP2L1;transcription factor CP2 like 1
90;hsa-miR-195-5p;CDK5R1;cyclin dependent kinase 5 regulatory subunit 1
90;hsa-miR-195-5p;TGFBR3;transforming growth factor beta receptor 3
90;hsa-miR-195-5p;SEPT2;septin 2
90;hsa-miR-195-5p;MAP3K13;mitogen-activated protein kinase kinase kinase 13
90;hsa-miR-195-5p;FAM133B;family with sequence similarity 133 member B
90;hsa-miR-195-5p;UBQLNL;ubiquilin like
90;hsa-miR-195-5p;TRIM66;tripartite motif containing 66
90;hsa-miR-195-5p;ELMSAN1;ELM2 and Myb/SANT domain containing 1
90;hsa-miR-195-5p;AK4;adenylate kinase 4
90;hsa-miR-195-5p;ABHD2;abhydrolase domain containing 2
90;hsa-miR-195-5p;NRN1;neuritin 1
90;hsa-miR-195-5p;ADGRL1;adhesion G protein-coupled receptor L1
90;hsa-miR-195-5p;JARID2;jumonji and AT-rich interaction domain containing 2
90;hsa-miR-195-5p;SYNRG;synergin gamma
90;hsa-miR-195-5p;USP31;ubiquitin specific peptidase 31
90;hsa-miR-195-5p;SEMA3A;semaphorin 3A
90;hsa-miR-195-5p;TAB3;TGF-beta activated kinase 1 (MAP3K7) binding protein 3
90;hsa-miR-195-5p;LRIG1;leucine rich repeats and immunoglobulin like domains 1
90;hsa-miR-195-5p;TMC7;transmembrane channel like 7
90;hsa-miR-195-5p;DENND1B;DENN domain containing 1B
90;hsa-miR-195-5p;RAB9B;RAB9B, member RAS oncogene family
90;hsa-miR-195-5p;AMOT;angiomotin
90;hsa-miR-195-5p;FERMT2;fermitin family member 2
90;hsa-miR-195-5p;ILDR2;immunoglobulin like domain containing receptor 2
90;hsa-miR-195-5p;CSRNP1;cysteine and serine rich nuclear protein 1
90;hsa-miR-195-5p;NR2C2;nuclear receptor subfamily 2 group C member 2
90;hsa-miR-195-5p;ELL;elongation factor for RNA polymerase II
90;hsa-miR-195-5p;C12orf76;chromosome 12 open reading frame 76
90;hsa-miR-195-5p;BAG4;BCL2 associated athanogene 4
89;hsa-miR-195-5p;DYRK1B;dual specificity tyrosine phosphorylation regulated kinase 1B
89;hsa-miR-195-5p;ZSCAN31;zinc finger and SCAN domain containing 31
89;hsa-miR-195-5p;PDZD8;PDZ domain containing 8
89;hsa-miR-195-5p;ARFGAP2;ADP ribosylation factor GTPase activating protein 2
89;hsa-miR-195-5p;IKBKB;inhibitor of nuclear factor kappa B kinase subunit beta
89;hsa-miR-195-5p;CDK17;cyclin dependent kinase 17
89;hsa-miR-195-5p;ROCK2;Rho associated coiled-coil containing protein kinase 2
89;hsa-miR-195-5p;PNPLA6;patatin like phospholipase domain containing 6
89;hsa-miR-195-5p;MED26;mediator complex subunit 26
89;hsa-miR-195-5p;ATXN1L;ataxin 1 like
89;hsa-miR-195-5p;ISLR;immunoglobulin superfamily containing leucine rich repeat
89;hsa-miR-195-5p;PRDM4;PR/SET domain 4
89;hsa-miR-195-5p;SIK1B;salt inducible kinase 1B (putative)
89;hsa-miR-195-5p;SKI;SKI proto-oncogene
89;hsa-miR-195-5p;MNT;MAX network transcriptional repressor
89;hsa-miR-195-5p;CBX6;chromobox 6
89;hsa-miR-195-5p;PARVA;parvin alpha
89;hsa-miR-195-5p;MKNK1;MAP kinase interacting serine/threonine kinase 1
89;hsa-miR-195-5p;ADRB2;adrenoceptor beta 2
89;hsa-miR-195-5p;CMPK1;cytidine/uridine monophosphate kinase 1
89;hsa-miR-195-5p;COL12A1;collagen type XII alpha 1 chain
89;hsa-miR-195-5p;SERBP1;SERPINE1 mRNA binding protein 1
89;hsa-miR-195-5p;ETNK1;ethanolamine kinase 1
89;hsa-miR-195-5p;ANKS1A;ankyrin repeat and sterile alpha motif domain containing 1A
89;hsa-miR-195-5p;HIGD1A;HIG1 hypoxia inducible domain family member 1A
89;hsa-miR-195-5p;BCL11B;BCL11B, BAF complex component
89;hsa-miR-195-5p;ARHGAP32;Rho GTPase activating protein 32
89;hsa-miR-195-5p;TMEM189-UBE2V1;TMEM189-UBE2V1 readthrough
89;hsa-miR-195-5p;FAM91A1;family with sequence similarity 91 member A1
89;hsa-miR-195-5p;SEMA5B;semaphorin 5B
89;hsa-miR-195-5p;SGK1;serum/glucocorticoid regulated kinase 1
89;hsa-miR-195-5p;RS1;retinoschisin 1
89;hsa-miR-195-5p;PIP4P2;phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2
89;hsa-miR-195-5p;CHPT1;choline phosphotransferase 1
89;hsa-miR-195-5p;RELN;reelin
89;hsa-miR-195-5p;PCDH9;protocadherin 9
89;hsa-miR-195-5p;CLCN4;chloride voltage-gated channel 4
88;hsa-miR-195-5p;TCAIM;T cell activation inhibitor, mitochondrial
88;hsa-miR-195-5p;EPHA7;EPH receptor A7
88;hsa-miR-195-5p;TMEM268;transmembrane protein 268
88;hsa-miR-195-5p;CACNA2D1;calcium voltage-gated channel auxiliary subunit alpha2delta 1
88;hsa-miR-195-5p;RASEF;RAS and EF-hand domain containing
88;hsa-miR-195-5p;RREB1;ras responsive element binding protein 1
88;hsa-miR-195-5p;CAPRIN1;cell cycle associated protein 1
88;hsa-miR-195-5p;EGLN1;egl-9 family hypoxia inducible factor 1
88;hsa-miR-195-5p;PRRC2C;proline rich coiled-coil 2C
88;hsa-miR-195-5p;CEP85L;centrosomal protein 85 like
88;hsa-miR-195-5p;RBM6;RNA binding motif protein 6
88;hsa-miR-195-5p;EXOC3L2;exocyst complex component 3 like 2
88;hsa-miR-195-5p;CDC37L1;cell division cycle 37 like 1
88;hsa-miR-195-5p;SCOC;short coiled-coil protein
88;hsa-miR-195-5p;HERC6;HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
88;hsa-miR-195-5p;GNAT1;G protein subunit alpha transducin 1
88;hsa-miR-195-5p;DRD1;dopamine receptor D1
88;hsa-miR-195-5p;CXCR5;C-X-C motif chemokine receptor 5
88;hsa-miR-195-5p;PDIA6;protein disulfide isomerase family A member 6
88;hsa-miR-195-5p;RBBP6;RB binding protein 6, ubiquitin ligase
88;hsa-miR-195-5p;PIK3R1;phosphoinositide-3-kinase regulatory subunit 1
88;hsa-miR-195-5p;USP15;ubiquitin specific peptidase 15
88;hsa-miR-195-5p;PAG1;phosphoprotein membrane anchor with glycosphingolipid microdomains 1
88;hsa-miR-195-5p;SNX16;sorting nexin 16
88;hsa-miR-195-5p;IVNS1ABP;influenza virus NS1A binding protein
88;hsa-miR-195-5p;WNT7A;Wnt family member 7A
88;hsa-miR-195-5p;SNRPB2;small nuclear ribonucleoprotein polypeptide B2
88;hsa-miR-195-5p;QKI;QKI, KH domain containing RNA binding
88;hsa-miR-195-5p;DMTF1;cyclin D binding myb like transcription factor 1
88;hsa-miR-195-5p;LRP6;LDL receptor related protein 6
88;hsa-miR-195-5p;BZW1;basic leucine zipper and W2 domains 1
88;hsa-miR-195-5p;FAM81A;family with sequence similarity 81 member A
88;hsa-miR-195-5p;SMIM13;small integral membrane protein 13
88;hsa-miR-195-5p;GLS2;glutaminase 2
88;hsa-miR-195-5p;MOB4;MOB family member 4, phocein
88;hsa-miR-195-5p;HMGA1;high mobility group AT-hook 1
88;hsa-miR-195-5p;MYO5B;myosin VB
87;hsa-miR-195-5p;SPTBN2;spectrin beta, non-erythrocytic 2
87;hsa-miR-195-5p;RAD50;RAD50 double strand break repair protein
87;hsa-miR-195-5p;SLC36A1;solute carrier family 36 member 1
87;hsa-miR-195-5p;TENM2;teneurin transmembrane protein 2
87;hsa-miR-195-5p;PDE3B;phosphodiesterase 3B
87;hsa-miR-195-5p;HTR4;5-hydroxytryptamine receptor 4
87;hsa-miR-195-5p;ATXN7L3;ataxin 7 like 3
87;hsa-miR-195-5p;PLEKHA1;pleckstrin homology domain containing A1
87;hsa-miR-195-5p;CHUK;conserved helix-loop-helix ubiquitous kinase
87;hsa-miR-195-5p;USP44;ubiquitin specific peptidase 44
87;hsa-miR-195-5p;WWC1;WW and C2 domain containing 1
87;hsa-miR-195-5p;SIPA1L2;signal induced proliferation associated 1 like 2
87;hsa-miR-195-5p;MCU;mitochondrial calcium uniporter
87;hsa-miR-195-5p;SSR1;signal sequence receptor subunit 1
87;hsa-miR-195-5p;CUX1;cut like homeobox 1
87;hsa-miR-195-5p;RUNDC3B;RUN domain containing 3B
87;hsa-miR-195-5p;PEX13;peroxisomal biogenesis factor 13
87;hsa-miR-195-5p;UNC5D;unc-5 netrin receptor D
87;hsa-miR-195-5p;HEPHL1;hephaestin like 1
87;hsa-miR-195-5p;SLC4A4;solute carrier family 4 member 4
87;hsa-miR-195-5p;HECTD1;HECT domain E3 ubiquitin protein ligase 1
87;hsa-miR-195-5p;VPS4A;vacuolar protein sorting 4 homolog A
87;hsa-miR-195-5p;CDC27;cell division cycle 27
87;hsa-miR-195-5p;NAV1;neuron navigator 1
87;hsa-miR-195-5p;RET;ret proto-oncogene
87;hsa-miR-195-5p;MTFR1L;mitochondrial fission regulator 1 like
87;hsa-miR-195-5p;SLC6A11;solute carrier family 6 member 11
87;hsa-miR-195-5p;DDX3Y;DEAD-box helicase 3 Y-linked
87;hsa-miR-195-5p;DEPDC4;DEP domain containing 4
86;hsa-miR-195-5p;ANXA11;annexin A11
86;hsa-miR-195-5p;FAM122B;family with sequence similarity 122B
86;hsa-miR-195-5p;CLUH;clustered mitochondria homolog
86;hsa-miR-195-5p;RFK;riboflavin kinase
86;hsa-miR-195-5p;KPNA3;karyopherin subunit alpha 3
86;hsa-miR-195-5p;ST8SIA3;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
86;hsa-miR-195-5p;TARBP2;TARBP2, RISC loading complex RNA binding subunit
86;hsa-miR-195-5p;USP3;ubiquitin specific peptidase 3
